---new race---
Mosanto|2,646|1,811|3,522|1,811
Dominer|1,280|1,280|1,742|1,280
Hipster|0,526|0,594|0,932|0,594
Gardemarin|3,858|2,044|2,171|2,044
Exciter|0,000|1,851|2,847|1,851
Hot Wing|0,000|NaN|2,500|NaN
Circle Centuria|1,616|2,155|2,783|2,155


---new race---
Albar|2,815|2,815|2,210|2,815
Rajwan Al Khalediah|0,000|3,336|1,000|3,336
Boy Mugatin|2,690|2,853|5,629|2,853
Wunderfitz Von Südbaden|1,532|1,293|2,611|1,293
Hadir|1,204|1,841|3,460|1,841
Wasilew|1,584|1,972|4,042|1,972
Himera Jr|1,433|1,654|3,097|1,654
Marsat|1,297|0,827|5,835|0,827
Ilay Fleur De Lys|0,000|NaN|1,000|NaN


---new race---
Subiectum|2,144|1,128|2,556|1,128
Shalkar|0,612|1,538|1,738|1,538
Danot|0,000|1,626|1,000|1,626
Indigo Ocean|1,078|1,078|2,734|1,078
Sumidero|1,520|0,711|1,760|0,711
Trojka|0,000|1,467|1,000|1,467
Sinfonia Varsovia|0,000|NaN|1,000|NaN
Dystans|1,196|2,172|2,253|2,172
Miss Kossakówna|0,891|0,487|3,330|0,487
Dilong|1,440|1,467|2,583|1,467


---new race---
Salasaman|0,000|2,170|1,000|2,170
Caresser|0,000|11,968|1,000|11,968
Muminek|0,000|4,476|1,000|4,476
One Way Ticket|0,000|0,521|1,000|0,521
Torrent|0,000|NaN|1,000|NaN
Carla Cola|0,000|NaN|1,000|NaN
Zvezdan|0,000|NaN|1,000|NaN
Royal Helen|0,000|NaN|1,000|NaN


---new race---
Dżabir|0,000|1,211|1,000|1,211
Belloren|0,000|1,400|1,000|1,400
Peleng|0,000|NaN|1,000|NaN
Etna|0,000|0,384|1,000|0,384
Paramus|0,000|NaN|1,000|NaN
Monarcha|0,000|NaN|1,000|NaN
Wostok|0,000|NaN|1,000|NaN


---new race---
Talkonya|0,000|2,247|1,000|2,247
Rebel|0,000|NaN|1,000|NaN
Mimosa|0,000|2,247|1,000|2,247
Langrin|0,000|NaN|1,000|NaN
Ramiro|0,000|NaN|1,000|NaN
Doker|0,000|2,247|1,000|2,247
Bocca|0,000|NaN|1,000|NaN
Vi Verdi Caro|0,000|1,796|1,000|1,796
Torys|0,000|NaN|1,000|NaN
San Marino|0,000|NaN|1,000|NaN
Karyntia|0,000|1,644|1,000|1,644


---new race---
Fortune Teller|1,846|2,417|2,454|2,417
Masai Princess|0,000|0,370|2,710|0,370
Turion|0,000|1,305|3,476|1,305
Octobermen|0,000|1,113|5,196|1,113
Król Dżungli|0,000|0,899|4,952|0,899
Peregrino|0,059|0,059|1,028|0,059
Ugoda|0,686|0,899|3,399|0,899


---new race---
Camal Galib|0,000|0,898|1,000|0,898
Evimia|0,000|NaN|1,000|NaN
H Embition H|0,000|NaN|1,000|NaN
Elgiana|0,000|1,584|1,000|1,584
Aluta|0,000|NaN|1,000|NaN


---new race---
Hermes|0,000|NaN|1,000|NaN
Sorglos Von Südbaden|0,000|3,351|1,000|3,351
H Patricia H|0,000|NaN|1,000|NaN
Escada South|0,000|NaN|1,000|NaN
Sachem|0,000|NaN|1,000|NaN
Asirah|0,000|2,815|1,000|2,815
Zadatok|0,000|NaN|1,000|NaN
Elgin Jr|0,000|1,972|1,000|1,972


---new race---
Sileroy|1,188|2,156|1,646|2,156
Party Animal|1,544|1,544|3,378|1,544
Atman|4,213|4,213|2,306|4,213
Salinger|0,000|0,314|3,000|0,314
Ujoor|0,000|3,765|1,000|3,765
Pianissima|0,000|2,250|4,085|2,250
Fuengirola|0,205|0,714|3,583|0,714
Wild Lily|3,738|2,297|0,951|2,297
Jarl|0,832|0,806|2,617|0,806
Komandor|0,451|1,066|1,355|1,066
Miss Mazovia|0,000|0,806|5,736|0,806
Sini|0,000|1,139|1,000|1,139


---new race---
Rammas Al Khalediah|5,014|6,729|3,175|6,729
Salam Al Khalediah|0,000|5,319|1,000|5,319
Nesma Al Mels|4,140|3,751|5,092|3,751
Top Medina|5,184|3,712|0,667|3,712
Aktyw|3,404|2,353|2,935|2,353
Anood Al Khalediah|0,000|3,216|1,000|3,216
Arash|4,174|3,272|9,366|3,272
Ajiba Al Mels|1,135|3,361|2,811|3,361
Almiza|6,876|3,361|1,334|3,361
Zahaab|1,029|1,029|6,089|1,029
Jafeel Athbah|1,312|2,895|0,963|2,895
Letus Jr|1,762|1,762|2,967|1,762


---new race---
Harlem|1,764|1,061|3,267|1,061
Calmir|2,139|2,139|4,906|2,139
Kaszi|0,377|0,286|1,157|0,286
Blue Connoisseur|1,998|1,998|4,112|1,998
Tribunal|1,515|2,373|2,644|2,373
Dazeekha|0,000|NaN|1,000|NaN
Magical Path|0,000|1,650|1,000|1,650
Gared|1,142|0,641|2,079|0,641
Vilnele|2,746|2,746|5,295|2,746
Pipasol|0,940|1,415|0,990|1,415


---new race---
Majkel|0,000|NaN|1,000|NaN
Lady Konstancin|0,000|NaN|1,000|NaN
Adorator|0,000|4,471|1,000|4,471
King Royal|0,000|1,137|1,000|1,137
Isolin|0,000|4,471|1,000|4,471
Syron|0,000|1,319|1,000|1,319
Carlito|0,000|1,651|1,000|1,651
Devilinthedetail|0,000|NaN|1,000|NaN
Doc Davis|0,000|NaN|1,000|NaN
Hornet|0,000|2,172|1,000|2,172


---new race---
Tebidoro|0,000|2,188|1,000|2,188
Showmeyourheaven|0,685|0,987|2,478|0,987
Lanaphor|0,000|1,865|3,714|1,865
Tahir|0,000|1,344|1,000|1,344
Sweet As Sugar|0,897|0,897|0,533|0,897
Fruit Night|0,000|11,401|3,375|11,401
Magister|0,000|1,293|1,000|1,293
Augusta|0,361|0,998|0,866|0,998
Izis|0,337|0,986|14,030|0,986


---new race---
Ragane|0,846|2,883|1,944|2,883
Guarda|0,345|0,345|0,428|0,345
Sorbet|0,000|0,316|1,333|0,316
Invincible Gunner|2,817|2,778|3,963|2,778
Monte Luppo|0,135|0,917|1,407|0,917
Clouds Blue|2,068|1,211|8,682|1,211
Classical Intikhab|0,000|3,415|2,637|3,415
Bergen|0,000|0,774|5,750|0,774


---new race---
Street Bird|0,000|NaN|1,000|NaN
Phoenix|0,000|2,136|1,000|2,136
Sypnij Groszem|0,000|3,909|1,000|3,909
Integracja|0,000|0,949|1,000|0,949
Burkina Faso|0,000|1,683|1,000|1,683
Jiffy|0,000|NaN|1,000|NaN
Naomi|0,000|0,481|1,000|0,481


---new race---
Boy Mugatin|2,723|2,890|5,629|2,890
Marsat|1,291|0,826|5,835|0,826
Etorio|1,600|2,002|3,778|2,002
Wadi Kahil|1,524|1,838|3,712|1,838
Makayla|2,078|3,712|1,807|3,712
Malala|0,000|2,789|4,810|2,789


---new race---
Montero|1,968|1,186|2,083|1,186
Sea The Sky|0,984|2,095|2,449|2,095
Tebinio|2,453|2,178|8,367|2,178
Tahir|0,000|1,312|1,000|1,312
Dargo|0,000|1,248|4,500|1,248
Classical Intikhab|0,000|3,293|2,637|3,293
Kolada|0,146|0,469|2,222|0,469
Jam Romana|0,000|NaN|2,167|NaN


---new race---
Incognito|4,136|2,873|3,563|2,873
Dacosse|1,583|2,191|7,977|2,191
Alfea|6,204|1,839|1,679|1,839
Sweet City|3,064|3,090|4,254|3,090
Polski Lord|0,092|2,976|14,160|2,976
Ame Sublime|3,230|5,503|2,400|5,503
Baahy|0,809|1,861|1,829|1,861
Saldana|0,000|0,774|5,112|0,774
Indira|0,000|0,483|3,516|0,483


---new race---
Un Beso|0,000|NaN|1,000|NaN
Gancegal|0,000|NaN|1,000|NaN
Emiliano Zapata|0,000|NaN|1,000|NaN
Blizbor|0,000|0,888|1,000|0,888
Time of Change|0,000|1,467|1,000|1,467
Kontusz|0,000|0,487|1,000|0,487
Storius|0,000|1,440|1,000|1,440


---new race---
Pilecki|3,565|2,246|2,052|2,246
Calmir|2,147|2,147|4,906|2,147
Danot|0,000|1,626|1,000|1,626
Masai Princess|0,000|0,387|2,710|0,387
Diego|0,000|2,283|2,258|2,283
Angara|0,000|NaN|1,000|NaN
The Auld Hoose|0,000|1,626|1,000|1,626
Mexican Moon|1,027|0,773|4,516|0,773


---new race---
Light Feather|0,000|0,644|1,000|0,644
Torretta|0,000|NaN|1,000|NaN
River Cash|0,000|0,658|1,000|0,658
Tutti Frutti|0,000|0,501|1,000|0,501
Isleen|0,000|4,471|1,000|4,471
Ornella|0,000|0,644|1,000|0,644


---new race---
Pustynna Palma|0,000|1,554|1,000|1,554
Tatra|0,000|NaN|1,000|NaN
